papers,HYPOTHESIS
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/34694ba1fd2864bfd0cb0c43ef99ac3073482f17.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/094b625e5af8f5dc801e40612fc5b58ed07198bc.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/6ce694ff8f3732c30058be29bad1b08df72dbfe4.summary']","Does the delayed maturation of tBregs in multiple sclerosis patients contribute to the persistence of exhausted B cells, and can targeting the CD27 signaling pathway in tBregs enhance anti-tumor immunity in cancer patients?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/32fe2ba4eb7279db4f2cf2ec8f441e546e4fdc67.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/13afd253d45da4d77f05f9b3192f2d4cc89f4933.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d60d174c922a17813e6603adcd4af6472099d2f7.summary']","Do TCF7+ naive-like T cells and non-switched memory B cells interact to enhance the production of anti-tumor antibodies in the tumor microenvironment, and does this interaction rely on the presence of specific chemokines, such as CXCL13?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/0759ca89b2d3ef869d944fbbaf62565e50ae1c82.summary'],Does the dysregulation of the immune response in turbot infected with Enteromyxum scophthalmi also involve epigenetic modifications that affect the expression of immune-related genes?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/005c3f8c37d437cfcd9d9bd7cd2454e219ec80dc.summary'],"Does ibrutinib-mediated inhibition of BTK signaling in tumor-infiltrated B cells also enhance the activity of CD4+ T cells, leading to a broader antitumor immune response in metastatic prostate cancer?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/e2a2212c1c7100e10bdfb672df86c06b6fcdab48.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/e37c02e6664c8b9e83cf71c21df93238e6241f3b.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/696b09f7d666d0982b5fdf46ffbcb5cf15d1f483.summary']","Does the imbalance in cytokine production, particularly IL-2 and IL-7, in ASS-ILD patients lead to an altered CRP response, which in turn contributes to the metabolic reprogramming of macrophages and exacerbates inflammation in these patients?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/791b4a86c4e4b99cd63549ce180dc6a580f0b23b.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/199864080b2cfc60568e191704ec2ef0c84bbf1c.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2dc674ca8ba913f61b245ff9239d178813bbfde4.summary']",Does the interaction between UGT2B17 and CD150/CD180 receptors modulate B cell receptor signaling and contribute to the development of chronic lymphocytic leukemia by altering the balance between pro-survival and pro-apoptotic pathways?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/08b843573b532100d2d44401e7c7f89ab6a196f3.summary'],"Do specific microRNA expression patterns, correlated with BcR IG stereotypy, contribute to the distinct signaling profiles and clinical behavior of aggressive CLL subsets by regulating the expression of key genes involved in B-cell receptor signaling and cell survival?"
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/7d4982a14cb1505e8631872ddd310e6d62614d8e.summary'],Does the timing of BVAC-B administration relative to pembrolizumab treatment impact the enhancement of anti-tumor activity in patients with HER2-positive advanced gastric cancer?
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/f0da7af25b9f333b6c98eb43cb8818baac7378bb.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/63c25467e077004ada971cf14d03a5b3c9c578ab.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/14adbc54bce30e8ef762c32ae1179eca3f9c702e.summary']","Can the simultaneous knockout of specific oncogenic drivers and immune checkpoint genes in AML cells, combined with the adoptive transfer of CD45-knockout CAR-T cells, enhance the anti-tumor activity and persistence of CAR-T cells in vivo?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/03a1f4ee12dc605ecd6ebe6d3c6d9ab8d6046222.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/e9f9d4c5961735b2aa7fcb1a882302dc2c752af7.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/086accada88791d54972327bc83084eafba77c56.summary']","Can simultaneous targeting of BTK, MEK, and FLT3 pathways in combination with CD19-targeted immunotherapy prevent antigen loss relapse and improve treatment outcomes in patients with acute lymphoblastic leukemia?"
"['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/d2d8c61eb5d16d38470faa62a2132de368476499.summary', '/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/a7da8eaab000c51713a8344c4cfefa9785aa1af4.summary']",Can the co-expression of tTRII-I7R and TYK2 in CAR-T cells enhance their anti-tumor efficacy and prevent tumor recurrence in B cell lymphoma by converting immunosuppressive TGF-β signaling into immune-activating IL-7 signaling and restoring IFNα-mediated immune surveillance?
['/Users/bayardwalsh/Desktop/CMSC 35350/cmsc35350_final_project/eth/papers/2c36c2f928cad972eb9e2a05b6cdd9ca76240579.summary'],"Does the BCR/TLR9 crosstalk in autoreactive B cells also enhance the production of pro-inflammatory cytokines, thereby exacerbating systemic autoimmunity in mixed cryoglobulinemia patients?"
